,lat,lng,counts
394,30.912,75.8538,10
395,23.7094,120.5433,10
396,56.9972,40.9714,10
397,16.4467,102.833,10
398,41.8006,-73.0,10
399,10.9685,-74.0,10
400,12.1328,-86.0,10
401,36.1136,128.336,10
402,24.9139,118.5858,10
403,57.048,9.9187,10
404,32.9482,-96.0,10
405,16.6956,74.2317,10
406,51.6992,5.3042,10
407,47.654,18.5972,10
408,49.8383,24.0232,10
409,33.5102,36.2913,10
410,33.5097,126.5219,10
411,13.8196,100.0443,10
412,21.3089,105.6049,10
413,51.5406,46.0086,10
414,40.7185,-74.0,10
415,23.2547,77.4029,10
416,40.4993,-74.0,10
417,51.0501,-114.0,10
418,59.2239,39.884,10
419,37.563,-122.0,10
420,21.2333,81.6333,10
421,29.1026,-110.0,10
422,57.7072,11.9668,10
423,56.6388,47.8908,10
424,22.3714,114.1133,10
425,28.6194,-81.0,10
426,35.7721,-78.0,9
427,39.8152,115.9307,9
428,41.4225,-87.0,9
429,37.5176,-121.0,9
430,34.9505,127.4878,9
431,19.0931,72.9049,9
432,37.2956,126.9208,9
433,37.1925,127.2788,9
434,37.3236,126.8219,9
435,41.9965,21.4314,9
436,34.8128,126.3918,9
437,16.4619,107.5955,9
438,36.3524,127.3606,9
439,0.0389,-51.0,9
440,53.2192,6.5667,9
441,43.6043,1.4437,9
442,45.2117,36.7161,9
443,55.9116,37.7308,9
444,46.3237,-120.0,9
445,50.6107,36.5802,9
446,31.5689,120.2886,9
447,31.4155,73.0897,9
448,8.6135,-71.0,9
449,30.03,31.47,9
450,30.0094,31.2086,9
451,53.5303,49.3461,9
452,53.5501,-113.0,9
453,56.8498,53.2045,9
454,10.0647,-69.0,9
455,5.9749,116.0724,9
456,47.3721,8.5417,9
457,15.7047,100.1372,9
458,25.7629,-80.0,9
459,47.0951,37.5413,9
460,45.7064,9.6669,8
461,50.2073,8.5775,8
462,48.49,3.1477,8
463,40.7086,-74.0,8
464,35.2342,128.8811,8
465,36.2981,59.6057,8
466,23.0268,113.1315,8
467,17.9667,102.6,8
468,24.757,121.753,8
469,34.6392,-120.0,8
470,35.6738,139.7616,8
471,47.0056,28.8575,8
472,38.3167,116.8667,8
473,33.3406,44.4009,8
474,54.1961,37.6182,8
475,18.5818,-68.0,8
476,20.9505,107.0734,8
477,36.8567,127.4433,8
478,13.5367,99.8171,8
479,24.96,121.5389,8
480,49.2358,6.1717,8
481,19.0379,-98.0,8
482,35.342,129.0336,8
483,24.6009,98.7042,8
484,54.9027,23.9096,8
485,37.3514,127.9453,8
486,3.8667,11.5167,8
487,50.5217,30.2506,8
488,15.2384,104.8487,8
489,37.3329,-121.0,8
490,7.1254,-73.0,8
491,26.5833,106.7167,8
492,43.4254,-80.0,8
493,26.6617,119.5228,8
494,51.2563,7.1482,8
495,43.0731,-89.0,8
496,37.5308,126.8751,8
497,31.2251,-7.0,8
498,23.5841,58.4078,8
499,14.5869,121.0614,8
500,26.4344,50.1033,8
501,51.9225,4.4792,8
502,44.9572,34.1108,8
503,37.4024,126.6997,8
504,30.6946,76.8504,8
505,51.7058,5.4625,8
506,20.2581,105.9797,8
507,45.3053,14.7156,8
508,45.4299,10.9844,8
509,42.5061,27.4678,8
510,51.4817,7.2165,7
511,48.8355,2.2413,7
512,48.7194,44.5018,7
513,36.3631,127.3729,7
514,38.8048,-77.0,7
515,32.9,115.8167,7
516,54.3523,18.6491,7
517,52.5427,13.0584,7
518,53.0831,9.9977,7
519,37.41,127.2572,7
520,35.0257,-78.0,7
521,48.6844,6.185,7
522,52.6461,9.2209,7
523,52.6958,6.1944,7
524,10.4138,76.2606,7
525,52.8475,8.045,7
526,22.6714,120.4881,7
527,20.7236,-103.0,7
528,49.4075,11.1649,7
529,51.4325,6.7652,7
530,49.3856,11.3573,7
531,50.8703,20.6275,7
532,52.2,0.1167,7
533,51.2205,4.4003,7
534,37.4922,15.0704,7
535,52.3705,9.7332,7
536,21.0029,75.566,7
537,25.1825,75.8391,7
538,42.7325,-84.0,7
539,26.2279,50.5857,7
540,46.2389,14.3556,7
541,40.7282,-74.0,7
542,26.2298,78.1734,7
543,40.7608,-111.0,7
544,45.5356,10.2147,7
545,40.8223,-74.0,7
546,45.0936,7.6934,7
547,34.0331,-5.0,7
548,34.008,71.5785,7
549,44.4938,11.3387,7
550,56.1322,47.2519,7
551,44.2233,42.0578,7
552,33.6695,-117.0,7
553,16.7597,-93.0,7
554,21.5095,-104.0,7
555,56.4977,84.9744,7
556,41.3597,2.1003,7
557,43.8668,-79.0,7
558,33.7456,-117.0,7
559,33.7739,-117.0,7
560,41.6639,-83.0,7
561,41.6932,-8.0,7
562,43.648,-79.0,7
563,43.4628,11.8807,7
564,33.9137,-98.0,7
565,15.5518,32.5324,7
566,28.4112,77.3132,7
567,1.3174,103.8563,7
568,3.0367,101.4433,7
569,45.7537,21.2257,7
570,47.4018,-122.0,7
571,24.5643,120.8237,7
572,40.2338,-111.0,7
573,34.1361,-117.0,7
574,55.6759,12.5655,7
575,55.1904,30.2049,7
576,40.2811,-7.0,7
577,18.2923,99.4928,7
578,40.4167,-86.0,7
579,40.4353,-3.0,7
580,40.2056,-8.0,7
581,21.2339,110.3875,7
582,6.1236,102.2433,7
583,17.997,-76.0,7
584,48.1089,11.6074,7
585,3.0851,101.5328,7
586,55.4242,37.5547,7
587,12.7111,77.6956,7
588,54.9766,39.0444,7
589,54.6269,39.6916,6
590,58.718,5.5686,6
591,22.3397,87.325,6
592,52.0549,15.0988,6
593,61.2181,-149.0,6
594,54.9158,37.4111,6
595,35.6769,139.652,6
596,37.1882,-3.0,6
597,52.1458,5.3,6
598,56.7686,54.1148,6
599,4.5841,101.0829,6
600,55.3333,86.0833,6
601,52.3567,6.6625,6
602,53.0758,8.8072,6
603,20.8648,106.6834,6
604,55.8094,37.9581,6
605,28.8389,78.7768,6
606,29.8022,119.624,6
607,21.2731,106.1946,6
608,2.9936,101.5726,6
609,4.6041,-74.0,6
610,19.2437,73.1355,6
611,6.1287,1.2215,6
612,49.1399,9.2205,6
613,32.6657,-16.0,6
614,38.7271,-9.0,6
615,38.881,-77.0,6
616,11.9465,108.4419,6
617,12.3657,-1.0,6
618,12.6809,101.258,6
619,46.8667,20.55,6
620,46.8123,-71.0,6
621,46.7791,-56.0,6
622,13.4383,-16.0,6
623,13.658,102.5636,6
624,34.0553,-117.0,6
625,46.2991,30.6553,6
626,46.253,20.1482,6
627,17.4157,102.7859,6
628,23.9769,121.6044,6
629,44.98,-93.0,6
630,41.0265,-73.0,6
631,23.5158,87.308,6
632,43.9092,12.9164,6
633,33.9631,-118.0,6
634,14.6328,-90.0,6
635,43.621,6.9714,6
636,33.8675,-117.0,6
637,43.297,5.3811,6
638,42.3,69.6,6
639,42.4411,19.2636,6
640,38.7135,-77.0,6
641,38.9014,-77.0,6
642,49.1836,-123.0,6
643,49.4183,26.9794,6
644,51.48,-3.0,6
645,25.7466,89.2517,6
646,19.8,105.7667,6
647,19.6705,-99.0,6
648,51.2167,6.2667,6
649,51.209,10.4527,6
650,37.5843,127.0288,6
651,9.9333,-84.0,6
652,10.3167,123.8907,6
653,49.5631,3.6271,6
654,37.8313,-122.0,6
655,19.2879,-99.0,6
656,50.0413,21.999,6
657,23.7223,90.311,6
658,32.6525,51.6746,6
659,10.9289,108.1021,6
660,49.2133,6.1596,6
661,49.2302,-122.0,6
662,34.4333,-117.0,6
663,46.35,25.8,6
664,49.3628,8.2581,6
665,23.2329,-106.0,5
666,33.9526,-84.0,5
667,34.0686,-117.0,5
668,23.726,90.4251,5
669,33.9375,-117.0,5
670,25.7906,-80.0,5
671,22.602,75.6965,5
672,35.1085,-77.0,5
673,34.6816,126.9069,5
674,24.899,91.872,5
675,28.6627,121.4331,5
676,33.4223,-111.0,5
677,24.4341,118.3171,5
678,33.2533,126.5618,5
679,32.1557,74.187,5
680,34.7398,127.6489,5
681,33.5207,-86.0,5
682,22.8233,104.9836,5
683,33.4936,-117.0,5
684,22.5988,80.3712,5
685,42.15,24.75,5
686,46.9481,7.4474,5
687,39.1142,-94.0,5
688,45.6489,8.7693,5
689,45.4948,41.2208,5
690,45.4369,28.0503,5
691,51.4416,0.1487,5
692,45.2115,7.7336,5
693,7.0292,-71.0,5
694,44.6478,10.9254,5
695,51.5051,7.0965,5
696,51.672,39.1843,5
697,43.8015,-79.0,5
698,43.7792,11.2463,5
699,15.3255,120.6572,5
700,42.7884,-71.0,5
701,42.763,11.1094,5
702,42.6,23.0333,5
703,16.1848,103.3007,5
704,52.0767,4.2986,5
