,datetime,lat,lng,counts,date
2918,2021-08-19 02:23:22,39.0437,-77.0,1,2021-08-19
2919,2021-08-19 02:23:46,40.8043,-74.0,1,2021-08-19
2920,2021-08-19 02:24:32,52.374,4.8897,1,2021-08-19
2921,2021-08-19 02:24:52,14.8818,103.4936,1,2021-08-19
2922,2021-08-19 02:26:18,22.5455,114.0683,1,2021-08-19
2923,2021-08-19 02:26:27,1.3215,103.6957,1,2021-08-19
2924,2021-08-19 02:36:21,53.5501,-113.0,1,2021-08-19
2925,2021-08-19 02:38:53,41.9342,25.5556,1,2021-08-19
2926,2021-08-19 02:39:03,31.9023,-7.0,1,2021-08-19
2927,2021-08-19 02:41:23,55.7522,37.6156,1,2021-08-19
2928,2021-08-19 02:42:37,18.5196,73.8554,1,2021-08-19
2929,2021-08-19 02:42:55,37.566,126.9784,1,2021-08-19
2930,2021-08-19 02:47:03,52.374,4.8897,1,2021-08-19
2931,2021-08-19 03:02:41,22.2783,114.1747,1,2021-08-19
2932,2021-08-19 03:08:49,38.7071,-121.0,1,2021-08-19
2933,2021-08-19 03:10:30,50.1155,8.6842,1,2021-08-19
2934,2021-08-19 03:11:40,18.5196,73.8554,1,2021-08-19
2935,2021-08-19 03:13:12,13.1119,99.9447,1,2021-08-19
2936,2021-08-19 03:15:36,50.1155,8.6842,1,2021-08-19
2937,2021-08-19 03:19:42,23.1167,113.25,1,2021-08-19
2938,2021-08-19 03:20:04,22.5455,114.0683,1,2021-08-19
2939,2021-08-19 03:24:06,32.9652,-117.0,1,2021-08-19
2940,2021-08-19 03:43:15,40.7357,-74.0,1,2021-08-19
2941,2021-08-19 03:45:32,22.2783,114.1747,1,2021-08-19
2942,2021-08-19 03:46:37,39.9075,116.3972,1,2021-08-19
2943,2021-08-19 03:46:59,39.9075,116.3972,1,2021-08-19
2944,2021-08-19 03:49:55,50.1155,8.6842,1,2021-08-19
2945,2021-08-19 04:01:23,52.374,4.8897,1,2021-08-19
2946,2021-08-19 04:01:43,22.5455,114.0683,1,2021-08-19
2947,2021-08-19 04:02:10,39.9075,116.3972,1,2021-08-19
2948,2021-08-19 04:03:20,48.8534,2.3488,1,2021-08-19
2949,2021-08-19 04:04:33,14.6488,121.0509,1,2021-08-19
2950,2021-08-19 04:04:33,49.6218,20.6971,1,2021-08-19
2951,2021-08-19 04:06:17,50.4547,30.5238,1,2021-08-19
2952,2021-08-19 04:07:37,50.7566,12.6303,1,2021-08-19
2953,2021-08-19 04:10:22,31.2222,121.4581,1,2021-08-19
2954,2021-08-19 04:13:44,8.4333,99.9667,1,2021-08-19
2955,2021-08-19 04:14:14,37.3483,-121.0,1,2021-08-19
2956,2021-08-19 04:15:04,37.3058,-78.0,1,2021-08-19
2957,2021-08-19 04:16:29,22.5455,114.0683,1,2021-08-19
2958,2021-08-19 04:16:45,40.5187,-74.0,1,2021-08-19
2959,2021-08-19 04:18:15,13.2257,77.575,1,2021-08-19
2960,2021-08-19 04:19:04,40.7143,-74.0,1,2021-08-19
2961,2021-08-19 04:20:38,33.4936,-117.0,1,2021-08-19
2962,2021-08-19 04:20:49,4.0847,-76.0,1,2021-08-19
2963,2021-08-19 04:22:38,35.6699,-81.0,1,2021-08-19
2964,2021-08-19 04:23:16,25.2855,51.531,1,2021-08-19
2965,2021-08-19 04:24:33,13.754,100.5014,1,2021-08-19
2966,2021-08-19 04:27:43,18.9261,-99.0,1,2021-08-19
2967,2021-08-19 04:29:00,39.9075,116.3972,1,2021-08-19
2968,2021-08-19 04:33:18,25.2855,51.531,1,2021-08-19
2969,2021-08-19 04:36:37,33.8675,-117.0,1,2021-08-19
2970,2021-08-19 04:44:08,20.6668,-103.0,1,2021-08-19
2971,2021-08-19 04:44:45,40.8043,-74.0,1,2021-08-19
2972,2021-08-19 04:44:50,48.8534,2.3488,1,2021-08-19
2973,2021-08-19 04:45:18,39.9075,116.3972,1,2021-08-19
2974,2021-08-19 04:45:55,31.2222,121.4581,1,2021-08-19
2975,2021-08-19 04:46:04,52.374,4.8897,1,2021-08-19
2976,2021-08-19 04:46:10,13.0878,80.2785,1,2021-08-19
2977,2021-08-19 04:47:00,22.2783,114.1747,1,2021-08-19
2978,2021-08-19 04:47:08,31.2222,121.4581,1,2021-08-19
2979,2021-08-19 04:48:29,3.4372,-76.0,1,2021-08-19
2980,2021-08-19 04:49:33,31.2222,121.4581,1,2021-08-19
2981,2021-08-19 04:50:07,40.8344,-74.0,1,2021-08-19
2982,2021-08-19 04:50:41,40.8344,-74.0,1,2021-08-19
2983,2021-08-19 04:50:45,40.8344,-74.0,1,2021-08-19
2984,2021-08-19 04:52:13,49.8383,24.0232,1,2021-08-19
2985,2021-08-19 04:52:15,39.0373,-77.0,1,2021-08-19
2986,2021-08-19 04:52:45,1.3215,103.6957,1,2021-08-19
2987,2021-08-19 04:53:23,25.2855,51.531,1,2021-08-19
2988,2021-08-19 04:53:31,37.3483,-121.0,1,2021-08-19
2989,2021-08-19 04:54:20,40.8043,-74.0,1,2021-08-19
2990,2021-08-19 04:54:38,4.6097,-74.0,1,2021-08-19
2991,2021-08-19 04:54:58,23.1167,113.25,1,2021-08-19
2992,2021-08-19 05:05:06,23.1167,113.25,1,2021-08-19
2993,2021-08-19 05:07:12,49.6117,6.13,1,2021-08-19
2994,2021-08-19 05:08:31,50.1155,8.6842,1,2021-08-19
2995,2021-08-19 05:08:37,50.1155,8.6842,1,2021-08-19
2996,2021-08-19 05:09:10,52.374,4.8897,1,2021-08-19
2997,2021-08-19 05:09:30,39.9075,116.3972,1,2021-08-19
2998,2021-08-19 05:09:54,1.3215,103.6957,1,2021-08-19
2999,2021-08-19 05:10:52,34.1808,-118.0,1,2021-08-19
3000,2021-08-19 05:11:08,23.1167,113.25,1,2021-08-19
3001,2021-08-19 05:11:31,31.2222,121.4581,1,2021-08-19
3002,2021-08-19 05:12:31,39.9075,116.3972,1,2021-08-19
3003,2021-08-19 05:13:05,30.6667,104.0667,1,2021-08-19
3004,2021-08-19 05:22:08,40.7143,-74.0,1,2021-08-19
3005,2021-08-19 05:28:03,52.374,4.8897,1,2021-08-19
3006,2021-08-19 05:33:56,22.2783,114.1747,1,2021-08-19
3007,2021-08-19 05:37:01,59.863,38.3813,1,2021-08-19
3008,2021-08-19 05:38:33,40.8344,-74.0,1,2021-08-19
3009,2021-08-19 05:38:48,4.6097,-74.0,1,2021-08-19
3010,2021-08-19 05:38:50,1.3215,103.6957,1,2021-08-19
3011,2021-08-19 05:39:29,22.3167,114.1833,1,2021-08-19
3012,2021-08-19 05:39:44,31.3172,-113.0,1,2021-08-19
3013,2021-08-19 05:40:48,39.9075,116.3972,1,2021-08-19
3014,2021-08-19 05:41:01,34.3333,134.05,1,2021-08-19
3015,2021-08-19 05:48:13,22.5455,114.0683,1,2021-08-19
3016,2021-08-19 05:48:39,14.6488,121.0509,1,2021-08-19
3017,2021-08-19 05:48:40,1.3215,103.6957,1,2021-08-19
3018,2021-08-19 05:49:33,40.8043,-74.0,1,2021-08-19
3019,2021-08-19 05:50:01,34.0443,-118.0,1,2021-08-19
3020,2021-08-19 05:50:23,13.2257,77.575,1,2021-08-19
3021,2021-08-19 05:52:26,50.1155,8.6842,1,2021-08-19
3022,2021-08-19 05:53:18,34.089,-118.0,1,2021-08-19
3023,2021-08-19 06:22:21,40.7143,-74.0,1,2021-08-19
3024,2021-08-19 06:26:18,40.7143,-74.0,1,2021-08-19
3025,2021-08-19 06:27:14,37.566,126.9784,1,2021-08-19
3026,2021-08-19 06:27:24,39.9075,116.3972,1,2021-08-19
3027,2021-08-19 06:27:30,14.6937,-17.0,1,2021-08-19
3028,2021-08-19 06:27:34,40.8043,-74.0,1,2021-08-19
3029,2021-08-19 06:29:05,52.374,4.8897,1,2021-08-19
3030,2021-08-19 06:29:56,50.5217,30.2506,1,2021-08-19
3031,2021-08-19 06:30:06,40.8043,-74.0,1,2021-08-19
3032,2021-08-19 06:30:06,52.3705,9.7332,1,2021-08-19
3033,2021-08-19 06:30:16,35.6895,139.6917,1,2021-08-19
3034,2021-08-19 06:32:12,39.9075,116.3972,1,2021-08-19
3035,2021-08-19 06:33:38,22.5455,114.0683,1,2021-08-19
3036,2021-08-19 06:37:42,39.9075,116.3972,1,2021-08-19
3037,2021-08-19 06:38:03,37.4386,127.1378,1,2021-08-19
3038,2021-08-19 06:39:30,31.2222,121.4581,1,2021-08-19
3039,2021-08-19 06:40:37,27.9994,120.6668,1,2021-08-19
3040,2021-08-19 06:40:37,56.8498,53.2045,1,2021-08-19
3041,2021-08-19 06:41:18,37.2068,126.8169,1,2021-08-19
3042,2021-08-19 06:42:36,22.5455,114.0683,1,2021-08-19
3043,2021-08-19 06:43:24,39.9075,116.3972,1,2021-08-19
3044,2021-08-19 06:50:45,52.374,4.8897,1,2021-08-19
3045,2021-08-19 07:05:03,48.8534,2.3488,1,2021-08-19
3046,2021-08-19 07:05:19,65.0124,25.4682,1,2021-08-19
3047,2021-08-19 07:07:08,51.1422,6.2844,1,2021-08-19
3048,2021-08-19 07:17:47,40.7143,-74.0,1,2021-08-19
3049,2021-08-19 07:22:18,39.9075,116.3972,1,2021-08-19
3050,2021-08-19 07:24:22,1.3215,103.6957,1,2021-08-19
3051,2021-08-19 07:25:10,30.0626,31.2497,1,2021-08-19
3052,2021-08-19 07:26:05,51.5085,0.0,1,2021-08-19
3053,2021-08-19 07:26:19,40.8043,-74.0,1,2021-08-19
3054,2021-08-19 07:27:21,52.2298,21.0118,1,2021-08-19
3055,2021-08-19 07:27:41,40.7402,-73.0,1,2021-08-19
3056,2021-08-19 07:27:50,40.8043,-74.0,1,2021-08-19
3057,2021-08-19 07:27:58,33.6654,-117.0,1,2021-08-19
3058,2021-08-19 07:28:03,54.9158,37.4111,1,2021-08-19
3059,2021-08-19 07:36:35,35.6895,139.6917,1,2021-08-19
3060,2021-08-19 07:36:58,18.5196,73.8554,1,2021-08-19
3061,2021-08-19 07:37:15,41.0138,28.9497,1,2021-08-19
3062,2021-08-19 07:37:35,39.9075,116.3972,1,2021-08-19
3063,2021-08-19 07:37:35,45.5088,-73.0,1,2021-08-19
3064,2021-08-19 07:40:09,51.1658,10.4216,1,2021-08-19
3065,2021-08-19 07:58:06,1.2897,103.8501,1,2021-08-19
3066,2021-08-19 08:01:28,1.3215,103.6957,1,2021-08-19
3067,2021-08-19 08:02:39,38.132,13.3356,1,2021-08-19
3068,2021-08-19 08:03:33,40.8344,-74.0,1,2021-08-19
3069,2021-08-19 08:04:27,55.7522,37.6156,1,2021-08-19
3070,2021-08-19 08:04:37,50.4547,30.5238,1,2021-08-19
3071,2021-08-19 08:04:48,50.6107,36.5802,1,2021-08-19
3072,2021-08-19 08:06:11,47.4704,-122.0,1,2021-08-19
3073,2021-08-19 08:06:45,47.4984,19.0404,1,2021-08-19
3074,2021-08-19 08:07:07,31.2222,121.4581,1,2021-08-19
3075,2021-08-19 08:09:48,23.1167,113.25,1,2021-08-19
3076,2021-08-19 08:12:07,31.2222,121.4581,1,2021-08-19
3077,2021-08-19 08:13:23,37.3893,-122.0,1,2021-08-19
3078,2021-08-19 08:16:41,39.9075,116.3972,1,2021-08-19
3079,2021-08-19 08:18:02,40.7143,-74.0,1,2021-08-19
3080,2021-08-19 08:21:12,46.253,20.1482,1,2021-08-19
3081,2021-08-19 08:22:51,37.3236,126.8219,1,2021-08-19
3082,2021-08-19 08:22:59,35.6895,139.6917,1,2021-08-19
3083,2021-08-19 08:23:42,39.9075,116.3972,1,2021-08-19
